Fday	ID	Rday	Wdays	MDUR	Tdays
75	264	69	1	3	5
75	264	69	1	3	5
75	154	29	31	13	15
74	264	69	0	3	5
74	264	69	0	3	5
74	264	69	0	3	5
74	261	66	0	6	8
73	256	62	0	9	11
73	210	59	0	12	14
71	258	64	0	5	7
70	209	59	0	9	11
70	207	57	0	11	13
69	145	25	24	16	20
68	201	54	0	12	14
67	148	27	23	15	17
66	212	60	0	4	6
66	204	55	0	9	11
65	192	49	0	14	16
65	139	22	19	20	24
63	203	55	0	6	8
63	198	52	0	9	11
63	195	51	0	10	12
62	206	57	0	3	5
62	197	52	0	8	10
60	200	53	0	5	7
60	142	24	20	14	16
57	189	48	0	7	9
57	186	46	0	9	11
56	194	50	0	4	6
56	191	49	0	5	7
56	183	44	0	10	12
56	180	43	0	11	13
55	136	21	19	13	15
54	185	46	0	6	8
54	182	44	0	8	10
52	188	47	0	3	5
52	177	41	0	9	11
51	171	38	1	10	12
50	174	39	0	9	11
50	127	16	8	20	26
49	179	42	0	5	7
49	168	36	0	11	13
48	173	39	2	5	7
47	170	37	2	6	8
46	176	40	1	3	5
45	165	35	0	8	10
45	159	32	0	11	13
44	162	33	0	9	11
44	133	19	9	14	16
43	167	36	1	4	6
43	150	27	0	14	16
42	155	30	2	8	10
42	156	30	1	9	11
42	153	29	1	10	12
41	161	33	0	6	8
41	147	26	0	13	15
41	130	18	7	14	16
41	144	25	0	12	16
40	123	14	5	17	21
39	164	34	0	3	5
39	158	31	1	5	7
39	149	27	1	9	11
37	141	23	0	12	14
36	120	12	0	20	24
34	152	28	0	4	6
33	146	26	0	5	7
33	138	22	0	9	11
33	135	20	0	11	13
32	143	24	0	6	8
32	129	17	0	13	15
32	126	16	0	12	16
31	137	21	0	8	10
30	140	23	0	5	7
28	132	19	0	7	9
28	131	18	0	8	10
28	110	6	0	18	22
26	134	20	0	4	6
26	124	15	0	9	11
25	117	10	0	13	15
24	113	8	0	14	16
23	128	17	0	4	6
23	125	15	0	6	8
23	112	7	0	14	16
21	118	11	0	8	10
21	115	9	0	10	12
20	119	12	0	6	8
20	121	12	0	6	8
19	109	6	0	11	13
19	102	2	0	15	17
18	122	13	0	3	5
17	116	10	0	5	7
15	114	9	0	4	6
15	101	1	0	12	14
14	104	3	0	9	11
13	107	4	0	7	9
12	111	7	0	3	5
11	108	5	0	4	6
11	100	1	0	8	10
10	105	3	0	5	7
10	103	2	0	6	8
.......................................................
Missions: 101 [N: 51, P: 42, D: 40] [100 DONE, 1 Aborted]
Rovers: 19 [N: 8, P: 6, D: 5]
Avg Wdays = 1.80, Avg MDUR = 8.69, Avg Tdays = 10.87
% Avg Wdays / Avg MDUR = 20.71%, Auto-aborted = 0.00%
